Year,Round,Region Number,Region Name,Seed,ScoreA,TeamA,TeamB,ScoreB,Seed,teamDiff,oppDiff
2010,2,2,West,2,84,Kansas St,BYU,72,7,12,-12
2010,2,2,West,3,68,Pittsburgh,Xavier,71,6,-3,3
2010,2,2,West,13,52,Murray St,Butler,54,5,-2,2
2010,2,3,East,1,90,Kentucky,Wake Forest,60,9,30,-30
2010,2,3,East,2,68,West Virginia,Missouri,59,10,9,-9
2010,2,3,East,3,64,New Mexico,Washington,82,11,-18,18
2010,2,3,East,4,69,Wisconsin,Cornell,87,12,-18,18
2010,2,4,South,1,68,Duke,California,53,8,15,-15
2010,2,4,South,2,68,Villanova,St Marys,75,10,-7,7
2010,2,4,South,3,76,Baylor,Old Dominion,68,11,8,-8
2010,2,4,South,4,63,Purdue,Texas A&M,61,5,2,-2
2010,3,1,Midwest,9,52,Northern Iowa,Michigan St,59,5,-7,7
2010,3,1,Midwest,2,73,Ohio St,Tennessee,76,6,-3,3
2010,3,2,West,1,59,Syracuse,Butler,63,5,-4,4
2010,3,2,West,2,101,Kansas St,Xavier,96,6,5,-5
2010,3,3,East,1,62,Kentucky,Cornell,45,12,17,-17
2010,3,3,East,2,69,West Virginia,Washington,56,11,13,-13
2010,3,4,South,1,70,Duke,Purdue,57,4,13,-13
2010,3,4,South,10,49,St Marys,Baylor,72,3,-23,23
2010,4,1,Midwest,5,70,Michigan St,Tennessee,69,6,1,-1
2010,4,2,West,5,63,Butler,Kansas St,56,2,7,-7
2010,4,3,East,1,66,Kentucky,West Virginia,73,2,-7,7
2010,4,4,South,1,78,Duke,Baylor,71,3,7,-7
2010,5,1,Final Four,5,50,Michigan St,Butler,52,5,-2,2
2010,5,2,Final Four,2,57,West Virginia,Duke,78,1,-21,21
2010,6,1,Championship,5,59,Butler,Duke,61,1,-2,2
2011,1,1,East,1,75,Ohio St,Texas San Antonio,46,16,29,-29
2011,1,1,East,2,102,North Carolina,Long Island Brooklyn,87,15,15,-15
2011,1,1,East,3,77,Syracuse,Indiana St,60,14,17,-17
2011,1,1,East,4,59,Kentucky,Princeton,57,13,2,-2
2011,1,1,East,5,84,West Virginia,Clemson,78,12,6,-6
2011,1,1,East,6,55,Xavier,Marquette,66,11,-11,11
2011,1,1,East,7,68,Washington,Georgia,65,10,3,-3
2011,1,1,East,8,61,George Mason,Villanova,57,9,4,-4
2011,1,2,West,1,87,Duke,Hampton,45,16,42,-42
2011,1,2,West,2,68,San Diego St,Northern Colorado,50,15,18,-18
2011,1,2,West,3,81,Connecticut,Bucknell,52,14,29,-29
2011,1,2,West,4,85,Texas,Oakland,81,13,4,-4
2011,1,2,West,5,77,Arizona,Memphis,75,12,2,-2
2011,1,2,West,6,78,Cincinnati,Missouri,63,11,15,-15
2011,1,2,West,7,66,Temple,Penn St,64,10,2,-2
2011,1,2,West,8,75,Michigan,Tennessee,45,9,30,-30
2011,1,3,Southwest,1,72,Kansas,Boston University,53,16,19,-19
2011,1,3,Southwest,2,69,Notre Dame,Akron,56,15,13,-13
2011,1,3,Southwest,3,65,Purdue,St Peters,43,14,22,-22
2011,1,3,Southwest,4,61,Louisville,Morehead St,62,13,-1,1
